 * Serving Flask app "/srv/www/todo_app/app.py"
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://172.17.0.2:5000/ (Press CTRL+C to quit)
172.17.0.1 - - [21/Sep/2021 11:25:47] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:25:48] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:37:13] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:37:21] "[32mGET /delete/Dz4QKLNT HTTP/1.1[0m" 302 -
172.17.0.1 - - [21/Sep/2021 11:37:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:37:24] "[32mGET /delete/kqHBBLzI HTTP/1.1[0m" 302 -
172.17.0.1 - - [21/Sep/2021 11:37:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:37:26] "[32mGET /delete/ICuQ00GJ HTTP/1.1[0m" 302 -
172.17.0.1 - - [21/Sep/2021 11:37:27] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:37:29] "[32mGET /delete/sQ70U0Hw HTTP/1.1[0m" 302 -
172.17.0.1 - - [21/Sep/2021 11:37:30] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:37:31] "[32mGET /delete/zxNzXuLV HTTP/1.1[0m" 302 -
172.17.0.1 - - [21/Sep/2021 11:37:31] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:37:33] "[32mGET /delete/MAC0sHNV HTTP/1.1[0m" 302 -
172.17.0.1 - - [21/Sep/2021 11:37:33] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:37:35] "[32mGET /delete/FCMljZzx HTTP/1.1[0m" 302 -
172.17.0.1 - - [21/Sep/2021 11:37:36] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:37:39] "[32mGET /delete/i1zgt1ll HTTP/1.1[0m" 302 -
172.17.0.1 - - [21/Sep/2021 11:37:39] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [21/Sep/2021 11:55:37] "GET / HTTP/1.1" 200 -
